Date,Last,diff_24h,diff_per_24h,Open,High,Low,Close,Volume
2019/2/18,3673.84 ,241.87,6.583574679,3671.37,3936.67,3669.98,3915.71,9908216640
2019/2/19,3915.71 ,31.38,0.801387232,3911.66,4010.88,3908.15,3947.09,9933626655
2019/2/20,3947.09 ,52.73,1.335920894,3946.68,4000.49,3926.25,3999.82,8693373948
2019/2/21,3999.82 ,-45.7,-1.142551415,4000.26,4010.01,3940.11,3954.12,7775128102
2019/2/22,3954.12 ,51.41,1.300162868,3952.41,4006.54,3950.82,4005.53,7826525254
2019/2/23,4005.53 ,137,3.420271475,3998.92,4166.29,3968.73,4142.53,8922258316
2019/2/24,4142.53 ,-332.1,-8.01683995,4145.46,4210.64,3793.71,3810.43,10794227451
2019/2/25,3810.43 ,72.27,1.896636338,3807,3913.71,3807,3882.7,9318796067
2019/2/26,3882.70 ,-28.34,-0.729904448,3878.7,3891.58,3837.99,3854.36,7931218996
2019/2/27,3854.36 ,-3.31,-0.085876773,3857.48,3888.8,3787.06,3851.05,8301309684
2019/2/28,3851.05 ,3.74,0.097116371,3848.26,3906.06,3845.82,3854.79,8399767798
2019/3/1,3854.79 ,4.79,0.124260984,3853.76,3907.8,3851.69,3859.58,7661247975
2019/3/2,3859.58 ,4.84,0.125402246,3855.32,3874.61,3832.13,3864.42,7578786076
2019/3/3,3864.42 ,-17.24,-0.446121281,3862.27,3875.48,3836.91,3847.18,7253558152
2019/3/4,3847.18 ,-85.62,-2.22552623,3845.09,3867.38,3733.75,3761.56,9029175788
2019/3/5,3761.56 ,134.82,3.584151256,3759.83,3903.92,3745.18,3896.38,10174126415
2019/3/6,3896.38 ,7.56,0.19402625,3897.08,3919.51,3871.46,3903.94,9175291529
2019/3/7,3903.94 ,7.54,0.193138214,3903.38,3939.37,3894.11,3911.48,9584165519
2019/3/8,3911.48 ,-10.35,-0.264605725,3913.23,3950.43,3875.23,3901.13,10638638944
2019/3/9,3901.13 ,62.18,1.593897153,3894.55,3987.24,3892.39,3963.31,10796103518
2019/3/10,3963.31 ,-11.71,-0.295460108,3966.17,3966.17,3924.38,3951.6,9713267607
2019/3/11,3951.60 ,-46.37,-1.17344873,3953.74,3966.38,3889.24,3905.23,10125901903
